Italian          ,English,Part of Speech,IPA Pronunciation,Gender,Context,Synonyms,Example Sentence,Example Sentence English,Category,Deck Name,Deck GUID,Note GUID
verdura,vegetables,noun,/verˈdura/,feminine,"Edible plants like tomatoes, potatoes, and lettuce",ortaggi,Compro la verdura fresca al supermercato per cucinare la cena stasera.,I buy fresh vegetables at the supermarket to cook dinner tonight.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,143201539992
vestiti,clothes,noun,/vesˈtiti/,masculine plural,Garments worn on the body,abiti; indumenti,Compro i vestiti nuovi al negozio per andare alla festa di sabato.,I buy new clothes at the shop to go to Saturday's party.,Clothing,Italian::A1::Vocab::Clothing,1019559507739,47924933430
vetro,glass (material),noun,/ˈvetro/,masculine,A hard transparent material used for windows and bottles,N/A,Il bicchiere di vetro è sul tavolo vicino alla finestra della cucina.,The glass cup is on the table near the kitchen window.,Home,Italian::A1::Vocab::Home,692027528045,515838834779
via,street; away,noun,/ˈvia/,feminine,A road in a town or city; also means 'away',strada,Abito in via Roma numero dieci vicino al parco grande della città.,I live on Roma street number ten near the big park in the city.,Places,Italian::A1::Vocab::Places,439811229925,14057909274
viaggio,trip; journey,noun,/ˈvjaddʒo/,masculine,The act of traveling from one place to another,N/A,Il viaggio in Italia è fantastico e voglio visitare molte città belle.,The trip to Italy is fantastic and I want to visit many beautiful cities.,Everyday Life,Italian::A1::Vocab::Everyday Life,830908692410,720969414132
vicino,near; close,adjective,/viˈtʃino/,N/A,Describes something at a short distance; opposite of 'lontano',prossimo,Il bar è vicino alla casa e cammino lì ogni mattina per il caffè.,The bar is near the house and I walk there every morning for coffee.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,115969488525
vino,wine,noun,/ˈvino/,masculine,An alcoholic drink made from grapes,N/A,Beviamo un bicchiere di vino rosso con la cena al ristorante stasera.,We drink a glass of red wine with dinner at the restaurant tonight.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,663189794886
visita,visit,noun,/ˈvizita/,feminine,The act of going to see a person or place,N/A,Facciamo una visita al museo nella città per vedere le cose belle.,We make a visit to the museum in the city to see the beautiful things.,Everyday Life,Italian::A1::Vocab::Everyday Life,830908692410,915719508303
vita,life,noun,/ˈvita/,feminine,The existence of a person; the time between birth and death,esistenza,La vita è bella quando sei con la famiglia e gli amici.,Life is beautiful when you are with family and friends.,Common Words,Italian::A1::Vocab::Common Words,536995933597,728755936952
weekend,weekend,noun,/ˈwiːkend/,masculine,Saturday and Sunday; the end of the week,fine settimana,Il weekend vado al mare con la famiglia e ci divertiamo insieme.,On the weekend I go to the sea with the family and we have fun together.,Time,Italian::A1::Vocab::Time,781073502550,390590206107
zaino,backpack,noun,/ˈdzaino/,masculine,A bag carried on the back for carrying things,N/A,Metto i libri e la matita nello zaino per andare a scuola.,I put the books and the pencil in the backpack to go to school.,Clothing,Italian::A1::Vocab::Clothing,1019559507739,41052509762
zero,zero,numeral,/ˈdzɛro/,N/A,The number zero; nothing,N/A,La temperatura è zero gradi fuori e fa molto freddo in inverno.,The temperature is zero degrees outside and it is very cold in winter.,Numbers,Italian::A1::Vocab::Numbers,381389947441,581591831947
zoo,zoo,noun,/ˈdzɔo/,masculine,A place where wild animals are kept for people to see,N/A,I bambini visitano lo zoo e vedono molti animali grandi e piccoli.,The children visit the zoo and see many big and small animals.,Places,Italian::A1::Vocab::Places,439811229925,420187920295
zucchero,sugar,noun,/ˈtsukkero/,masculine,A sweet substance used in food and drinks,N/A,Metto lo zucchero nel caffè perché è troppo amaro per me.,I put sugar in the coffee because it is too bitter for me.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,211896500297
